ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
17.01.2017; 1323.69;   1945.53;
16.01.2017; 1331.49;   1956.99;
13.01.2017; 1345.13;   1977.04;
12.01.2017; 1329.78;   1954.47;
11.01.2017; 1333.55;   1960.02;
10.01.2017; 1333.13;   1959.41;
09.01.2017; 1328.79;   1953.03;
06.01.2017; 1328.99;   1953.32;
05.01.2017; 1325.30;   1947.89;
04.01.2017; 1323.45;   1945.17;
03.01.2017; 1315.70;   1933.78;
30.12.2016; 1297.68;   1907.30;
29.12.2016; 1301.74;   1913.26;
28.12.2016; 1305.10;   1918.21;
27.12.2016; 1304.69;   1917.61;
23.12.2016; 1300.12;   1910.88;
22.12.2016; 1301.37;   1912.72;
21.12.2016; 1299.47;   1909.93;
20.12.2016; 1300.38;   1911.27;
19.12.2016; 1298.94;   1909.16;
16.12.2016; 1300.28;   1911.12;
15.12.2016; 1296.49;   1905.55;
14.12.2016; 1285.39;   1889.24;
13.12.2016; 1294.29;   1902.31;
12.12.2016; 1281.02;   1882.81;
09.12.2016; 1293.27;   1900.82;
08.12.2016; 1282.85;   1885.50;
07.12.2016; 1279.04;   1879.91;
06.12.2016; 1268.94;   1865.06;
05.12.2016; 1254.39;   1843.68;
02.12.2016; 1242.99;   1826.92;
01.12.2016; 1243.87;   1828.21;
30.11.2016; 1254.23;   1843.44;
29.11.2016; 1248.31;   1834.74;
28.11.2016; 1239.93;   1822.42;
25.11.2016; 1249.45;   1836.41;
24.11.2016; 1239.44;   1821.70;
23.11.2016; 1231.88;   1810.58;
22.11.2016; 1231.17;   1809.54;
21.11.2016; 1240.29;   1822.95;
18.11.2016; 1248.31;   1834.73;
17.11.2016; 1254.37;   1843.64;
16.11.2016; 1244.61;   1829.30;
15.11.2016; 1246.13;   1831.53;
14.11.2016; 1245.40;   1830.45;
11.11.2016; 1234.11;   1813.87;
10.11.2016; 1240.63;   1823.44;
09.11.2016; 1230.02;   1807.85;
08.11.2016; 1209.21;   1777.27;
07.11.2016; 1207.30;   1774.46;
04.11.2016; 1182.55;   1738.09;
03.11.2016; 1188.90;   1747.42;
02.11.2016; 1196.34;   1758.35;
01.11.2016; 1211.46;   1780.57;
31.10.2016; 1222.74;   1797.16;
28.10.2016; 1230.66;   1808.79;
27.10.2016; 1230.44;   1808.47;
26.10.2016; 1229.90;   1807.68;
25.10.2016; 1233.32;   1812.71;
24.10.2016; 1237.74;   1819.20;
21.10.2016; 1242.60;   1826.35;
20.10.2016; 1244.58;   1829.26;
19.10.2016; 1249.40;   1836.34;
18.10.2016; 1241.99;   1825.44;
17.10.2016; 1228.72;   1805.95;
14.10.2016; 1241.45;   1824.66;
13.10.2016; 1226.49;   1802.67;
12.10.2016; 1239.88;   1822.35;
11.10.2016; 1247.29;   1833.23;
10.10.2016; 1251.59;   1839.56;
07.10.2016; 1243.28;   1827.34;
06.10.2016; 1249.67;   1836.74;
05.10.2016; 1253.34;   1842.13;
04.10.2016; 1255.54;   1845.37;
03.10.2016; 1243.51;   1827.68;
30.09.2016; 1239.87;   1822.34;
29.09.2016; 1238.71;   1820.63;
28.09.2016; 1245.57;   1830.71;
27.09.2016; 1237.44;   1818.77;
26.09.2016; 1240.23;   1822.85;
23.09.2016; 1257.16;   1847.74;
22.09.2016; 1259.19;   1850.73;
21.09.2016; 1243.94;   1828.32;
20.09.2016; 1243.33;   1825.03;
19.09.2016; 1240.36;   1820.67;
16.09.2016; 1230.99;   1806.92;
15.09.2016; 1242.94;   1824.45;
14.09.2016; 1238.54;   1818.00;
13.09.2016; 1242.20;   1823.36;
12.09.2016; 1246.86;   1830.21;
09.09.2016; 1258.87;   1847.84;
08.09.2016; 1266.82;   1859.51;
07.09.2016; 1265.32;   1857.31;
06.09.2016; 1260.79;   1850.66;
05.09.2016; 1263.53;   1854.68;
02.09.2016; 1260.41;   1850.09;
01.09.2016; 1239.57;   1819.50;
31.08.2016; 1244.80;   1827.19;
30.08.2016; 1247.17;   1830.66;
29.08.2016; 1237.24;   1816.08;
26.08.2016; 1237.17;   1815.98;
25.08.2016; 1231.83;   1808.15;
24.08.2016; 1238.74;   1818.29;
23.08.2016; 1236.68;   1815.26;
22.08.2016; 1225.93;   1799.48;
19.08.2016; 1217.85;   1787.63;
18.08.2016; 1227.84;   1802.29;
17.08.2016; 1223.00;   1795.18;
16.08.2016; 1234.14;   1811.54;
15.08.2016; 1245.21;   1827.78;
12.08.2016; 1243.88;   1825.84;
11.08.2016; 1243.08;   1824.67;
10.08.2016; 1231.17;   1807.18;
09.08.2016; 1229.89;   1805.29;
08.08.2016; 1219.46;   1789.99;
05.08.2016; 1215.91;   1784.78;
04.08.2016; 1197.96;   1758.43;
03.08.2016; 1187.06;   1742.43;
02.08.2016; 1186.06;   1740.96;
29.07.2016; 1208.69;   1774.17;
28.07.2016; 1203.72;   1766.88;
27.07.2016; 1222.54;   1794.51;
26.07.2016; 1217.63;   1787.30;
25.07.2016; 1213.11;   1780.67;
22.07.2016; 1211.32;   1778.03;
21.07.2016; 1210.47;   1776.79;
20.07.2016; 1213.00;   1780.50;
19.07.2016; 1200.43;   1762.05;
18.07.2016; 1208.75;   1774.26;
15.07.2016; 1205.88;   1770.05;
14.07.2016; 1210.74;   1777.19;
13.07.2016; 1202.14;   1764.56;
12.07.2016; 1200.83;   1762.65;
11.07.2016; 1190.91;   1748.08;
08.07.2016; 1174.70;   1721.38;
07.07.2016; 1163.18;   1704.49;
06.07.2016; 1152.17;   1688.36;
05.07.2016; 1163.68;   1705.22;
04.07.2016; 1185.19;   1736.75;
01.07.2016; 1193.36;   1748.73;
30.06.2016; 1180.93;   1730.50;
29.06.2016; 1175.08;   1721.93;
28.06.2016; 1144.04;   1676.45;
27.06.2016; 1121.08;   1642.81;
24.06.2016; 1161.36;   1701.83;
