"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2003-11";"M1";"ZAR1";"0.2017"
"2003-11";"M1";"JPY100";"1.1841"
"2003-11";"M1";"HKD100";"16.6647"
"2003-12";"M1";"EUR1";"1.5586"
"2003-12";"M1";"GBP1";"2.204"
"2003-12";"M1";"USD1";"1.236"
"2003-12";"M1";"BRL100";"42.5"
"2003-12";"M1";"ZAR1";"0.1856"
"2003-12";"M1";"JPY100";"1.1554"
"2003-12";"M1";"HKD100";"15.9204"
"2004-01";"M1";"EUR1";"1.5612"
"2004-01";"M1";"GBP1";"2.2825"
"2004-01";"M1";"USD1";"1.2628"
"2004-01";"M1";"BRL100";"43.1"
"2004-01";"M1";"ZAR1";"0.1777"
"2004-01";"M1";"JPY100";"1.1929"
"2004-01";"M1";"HKD100";"16.2435"
"2004-02";"M1";"EUR1";"1.5758"
"2004-02";"M1";"GBP1";"2.3548"
"2004-02";"M1";"USD1";"1.2678"
"2004-02";"M1";"BRL100";"43.2"
"2004-02";"M1";"ZAR1";"0.1901"
"2004-02";"M1";"JPY100";"1.1632"
"2004-02";"M1";"HKD100";"16.2952"
"2004-03";"M1";"EUR1";"1.5588"
"2004-03";"M1";"GBP1";"2.336"
"2004-03";"M1";"USD1";"1.2739"
"2004-03";"M1";"BRL100";"43.8"
"2004-03";"M1";"ZAR1";"0.2009"
"2004-03";"M1";"JPY100";"1.2292"
"2004-03";"M1";"HKD100";"16.349"
"2004-04";"M1";"EUR1";"1.5521"
"2004-04";"M1";"GBP1";"2.2948"
"2004-04";"M1";"USD1";"1.2978"
"2004-04";"M1";"BRL100";"43.7"
"2004-04";"M1";"ZAR1";"0.1891"
"2004-04";"M1";"JPY100";"1.1759"
"2004-04";"M1";"HKD100";"16.638"
"2004-05";"M1";"EUR1";"1.5301"
"2004-05";"M1";"GBP1";"2.2914"
"2004-05";"M1";"USD1";"1.246"
"2004-05";"M1";"BRL100";"39.9"
"2004-05";"M1";"ZAR1";"0.191"
"2004-05";"M1";"JPY100";"1.1269"
"2004-05";"M1";"HKD100";"15.986"
"2004-06";"M1";"EUR1";"1.5281"
"2004-06";"M1";"GBP1";"2.2786"
"2004-06";"M1";"USD1";"1.2612"
"2004-06";"M1";"BRL100";"40.5"
"2004-06";"M1";"ZAR1";"0.2006"
"2004-06";"M1";"JPY100";"1.1587"
"2004-06";"M1";"HKD100";"16.1688"
"2004-07";"M1";"EUR1";"1.5399"
"2004-07";"M1";"GBP1";"2.3188"
"2004-07";"M1";"USD1";"1.2765"
"2004-07";"M1";"BRL100";"42"
"2004-07";"M1";"ZAR1";"0.2042"
"2004-07";"M1";"JPY100";"1.1466"
"2004-07";"M1";"HKD100";"16.3637"
"2004-08";"M1";"EUR1";"1.5426"
"2004-08";"M1";"GBP1";"2.2915"
"2004-08";"M1";"USD1";"1.2774"
"2004-08";"M1";"BRL100";"43.3"
"2004-08";"M1";"ZAR1";"0.1905"
"2004-08";"M1";"JPY100";"1.1624"
"2004-08";"M1";"HKD100";"16.3761"
"2004-09";"M1";"EUR1";"1.5535"
"2004-09";"M1";"GBP1";"2.2651"
"2004-09";"M1";"USD1";"1.2605"
"2004-09";"M1";"BRL100";"44.1"
"2004-09";"M1";"ZAR1";"0.1953"
"2004-09";"M1";"JPY100";"1.1359"
"2004-09";"M1";"HKD100";"16.1644"
"2004-10";"M1";"EUR1";"1.5277"
"2004-10";"M1";"GBP1";"2.195"
"2004-10";"M1";"USD1";"1.1975"
"2004-10";"M1";"BRL100";"41.6"
"2004-10";"M1";"ZAR1";"0.1957"
"2004-10";"M1";"JPY100";"1.1296"
"2004-10";"M1";"HKD100";"15.392"
"2004-11";"M1";"EUR1";"1.5141"
"2004-11";"M1";"GBP1";"2.1638"
"2004-11";"M1";"USD1";"1.1418"
"2004-11";"M1";"BRL100";"41.5"
"2004-11";"M1";"ZAR1";"0.1967"
"2004-11";"M1";"JPY100";"1.108"
