symbol,inception
MPCT,2016-04-20
IBUY,2016-04-20
DEMG,2016-04-19
CATH,2016-04-19
BUZ,2016-04-19
OPD,2016-04-19
RFAP,2016-04-14
RFEU,2016-04-14
RFDI,2016-04-14
EMTL,2016-04-13
STOT,2016-04-13
TECZ,2016-04-07
FAZZ,2016-04-07
ERYY,2016-04-07
IQDG,2016-04-07
DVEM,2016-04-07
JUNE,2016-04-05
GHE,2016-04-05
GHS,2016-04-05
JPIH,2016-04-01
JPEH,2016-04-01
JHMS,2016-03-29
JHME,2016-03-29
JHMI,2016-03-29
JHMA,2016-03-29
JHMU,2016-03-29
CEZ,2016-03-23
PSET,2016-03-21
PY,2016-03-21
FVC,2016-03-17
DWIN,2016-03-11
GAMR,2016-03-09
IFLY,2016-03-09
SHE,2016-03-08
GSEU,2016-03-04
GSJY,2016-03-04
VIGI,2016-03-02
VYMI,2016-03-02
JSML,2016-02-25
JSMD,2016-02-25
PUTW,2016-02-24
SOVB,2016-02-23
PGHD,2016-02-23
GCOW,2016-02-22
FUT,2016-02-18
OILX,2016-02-18
FIEE,2016-02-16
GTO,2016-02-10
MLPZ,2016-02-08
MLPQ,2016-02-08
OIIL,2016-02-08
EMDV,2016-01-25
XITK,2016-01-14
DFND,2016-01-14
GARD,2016-01-14
GNRX,2016-01-12
DDWM,2016-01-07
DDLS,2016-01-07
DDEZ,2016-01-07
DDJP,2016-01-07
LEAD,2016-01-06
DEZU,2016-01-05
DEFA,2016-01-05
DEWJ,2016-01-05
LVHD,2015-12-28
DDBI,2015-12-28
EDBI,2015-12-28
UDBI,2015-12-28
IMOM,2015-12-23
DYLS,2015-12-23
DYB,2015-12-23
JPEU,2015-12-18
DJD,2015-12-16
NANR,2015-12-15
PTEU,2015-12-15
PAEU,2015-12-15
ELKU,2015-12-10
EMGF,2015-12-08
SICK,2015-12-03
GASX,2015-12-03
LABS,2015-12-03
SPYX,2015-12-03
LARE,2015-12-03
ONEY,2015-12-02
ONEV,2015-12-02
ONEO,2015-12-02
QMOM,2015-12-02
DEUS,2015-11-24
DEEF,2015-11-24
ASET,2015-11-23
ETHO,2015-11-19
HGSD,2015-11-19
GSD,2015-11-12
PRME,2015-11-12
IAGG,2015-11-10
TLEH,2015-11-09
TLDH,2015-11-09
GSIE,2015-11-09
ALFI,2015-11-09
IDLB,2015-11-05
USLB,2015-11-05
FCVT,2015-11-03
HDRW,2015-10-29
EMSD,2015-10-29
EDOM,2015-10-29
HEUV,2015-10-29
HEUS,2015-10-29
HACV,2015-10-29
HEMV,2015-10-29
HEFV,2015-10-29
ITEQ,2015-10-28
XINA,2015-10-28
BITE,2015-10-28
SPYD,2015-10-21
HAHA,2015-10-20
CNHX,2015-10-20
ASHX,2015-10-20
CNCR,2015-10-13
DWTR,2015-10-09
FXJP,2015-10-09
FXEP,2015-10-09
SPVU,2015-10-09
SPMO,2015-10-09
LBDC,2015-10-08
BDCZ,2015-10-08
UCIB,2015-10-08
MRRL,2015-10-08
AMUB,2015-10-08
MLPB,2015-10-08
BSCP,2015-10-07
BSJN,2015-10-07
XLFS,2015-10-07
XLRE,2015-10-07
QGTA,2015-09-30
HJPX,2015-09-29
JPUS,2015-09-29
MLTI,2015-09-29
JHMH,2015-09-28
JHMT,2015-09-28
JHMF,2015-09-28
JHMC,2015-09-28
JHMM,2015-09-28
JHML,2015-09-28
GEM,2015-09-25
LKOR,2015-09-23
QLC,2015-09-23
UTES,2015-09-23
SPXT,2015-09-22
SPXV,2015-09-22
SPXN,2015-09-22
SPXE,2015-09-22
GSLC,2015-09-17
KSA,2015-09-16
PILS,2015-09-16
PILL,2015-09-16
HAKD,2015-09-16
HAKK,2015-09-16
EUDV,2015-09-10
VAMO,2015-09-09
XCEM,2015-09-02
IBMK,2015-09-01
IBMJ,2015-09-01
OAPH,2015-08-25
OEUH,2015-08-25
CID,2015-08-19
CIL,2015-08-19
DBAU,2015-08-19
JPNH,2015-08-19
DBSP,2015-08-19
DBSE,2015-08-19
DBIT,2015-08-19
DBES,2015-08-19
OASI,2015-08-19
OEUR,2015-08-19
WDRW,2015-08-19
DPST,2015-08-19
CLAW,2015-08-19
NAIL,2015-08-19
VTEB,2015-08-18
CRAK,2015-08-18
EWRE,2015-08-13
HDAW,2015-08-12
HDEE,2015-08-12
HDEZ,2015-08-12
HDEF,2015-08-12
NFLT,2015-08-10
HHYX,2015-07-28
EMBH,2015-07-22
CLYH,2015-07-22
HFXJ,2015-07-22
HFXE,2015-07-22
HFXI,2015-07-22
WEXP,2015-07-21
WUSA,2015-07-21
BIGD,2015-07-16
IPAY,2015-07-16
BDAT,2015-07-16
OUSA,2015-07-14
MLPV,2015-07-14
MOTI,2015-07-13
ALTY,2015-07-13
AGGY,2015-07-09
HDWM,2015-07-09
YLD,2015-07-08
CSA,2015-07-08
CSB,2015-07-08
CDL,2015-07-08
KLEM,2015-07-08
KLDW,2015-07-08
PUTX,2015-07-07
CIBR,2015-07-06
TPYP,2015-06-30
SLOW,2015-06-30
SLDR,2015-06-30
HSCZ,2015-06-29
HAWX,2015-06-29
HACW,2015-06-29
HEWU,2015-06-29
HEWL,2015-06-29
HEWP,2015-06-29
HEWY,2015-06-29
HEWW,2015-06-29
HEWI,2015-06-29
HEWC,2015-06-29
HAUD,2015-06-29
HTUS,2015-06-24
JPN,2015-06-24
HGJP,2015-06-23
HGEU,2015-06-23
SOP,2015-06-22
UOP,2015-06-22
HBZ,2015-06-22
HBU,2015-06-22
ZBIO,2015-06-22
UBIO,2015-06-22
CHAD,2015-06-17
IVLU,2015-06-16
ISZE,2015-06-16
PTLC,2015-06-12
PTMC,2015-06-12
PTNQ,2015-06-12
UBND,2015-06-11
HEGE,2015-06-10
HEGJ,2015-06-10
TUTI,2015-06-09
HFEZ,2015-06-09
SPUN,2015-06-09
HDLS,2015-06-04
DXUS,2015-06-04
ICVT,2015-06-02
FCFI,2015-06-01
HHFR,2015-06-01
DRVN,2015-06-01
HHDG,2015-06-01
GUSH,2015-05-28
DRIP,2015-05-28
LABD,2015-05-28
LABU,2015-05-28
JDG,2015-05-28
CAPX,2015-05-28
YLCO,2015-05-27
VXDN,2015-05-19
VXUP,2015-05-19
SCIJ,2015-05-12
SCIX,2015-05-12
SCID,2015-05-12
SCIU,2015-05-12
DHVW,2015-05-12
FXEU,2015-05-07
LRET,2015-05-05
JETS,2015-04-30
UK,2015-04-29
ACWF,2015-04-28
ISCF,2015-04-28
INTF,2015-04-28
SMLF,2015-04-28
LRGF,2015-04-28
ACTX,2015-04-28
PAK,2015-04-22
SMCP,2015-04-21
CHAU,2015-04-16
QUS,2015-04-15
XRLV,2015-04-09
FFTY,2015-04-09
JHDG,2015-04-09
DBRE,2015-04-08
DBIF,2015-04-08
SGDJ,2015-03-31
QLS,2015-03-24
QED,2015-03-24
ROGS,2015-03-24
XT,2015-03-19
SDEM,2015-03-17
SRET,2015-03-16
AFTY,2015-03-12
IBDQ,2015-03-11
IBDP,2015-03-11
IBDO,2015-03-11
VLLV,2015-03-11
VLML,2015-03-11
VLSM,2015-03-11
IBDN,2015-03-10
IBDM,2015-03-10
IBDK,2015-03-10
IBDJ,2015-03-10
HOML,2015-03-10
HOMX,2015-03-10
EUSC,2015-03-04
MEAR,2015-03-03
EMIH,2015-03-03
IGIH,2015-03-03
HYIH,2015-03-03
QVM,2015-02-27
ROUS,2015-02-26
RODM,2015-02-26
ROAM,2015-02-26
TUTT,2015-02-25
INC,2015-02-24
TOTL,2015-02-23
TONS,2015-02-20
RISE,2015-02-19
FLRT,2015-02-18
GDXX,2015-02-12
GDXS,2015-02-12
GDJS,2015-02-12
GDJJ,2015-02-12
KEMP,2015-02-12
GHII,2015-02-11
SPYB,2015-02-04
REGL,2015-02-03
SMDV,2015-02-03
SMHD,2015-02-03
RGRO,2015-02-02
FREL,2015-02-02
SBEU,2015-01-27
SBUS,2015-01-27
ZLRG,2015-01-20
ZSML,2015-01-20
DIVA,2015-01-15
IMTM,2015-01-15
IQLT,2015-01-13
HIPS,2015-01-07
LLEM,2015-01-07
LLDM,2015-01-07
LLSC,2015-01-07
LLSP,2015-01-07
JPEM,2015-01-07
SBIO,2014-12-31
EQAL,2014-12-23
DIVY,2014-12-18
IVAL,2014-12-17
BBC,2014-12-16
BBP,2014-12-16
VALX,2014-12-11
XSOE,2014-12-10
CRBN,2014-12-10
DBEZ,2014-12-10
